market,opening_price,trade_price,high_price,low_price,candle_acc_trade_volume,candle_date_time_kst
KRW-STORJ,487.1,487.1,487.1,487.1,38863.475185,2024-09-14T22:40:00
KRW-STORJ,487.4,487.0,487.4,487.0,15412.42625983,2024-09-14T22:35:00
KRW-STORJ,487.1,487.0,487.1,487.0,1280.0,2024-09-14T22:30:00
KRW-GRS,393.1,393.6,393.6,393.1,3343.63726431,2024-09-14T22:45:00
KRW-GRS,393.1,393.1,393.1,393.1,3052.65835665,2024-09-14T22:40:00
KRW-GRS,393.1,393.1,393.1,393.1,156.85101964,2024-09-14T22:35:00
KRW-ADA,475.0,475.6,475.6,475.0,19516.29807345,2024-09-14T22:45:00
KRW-ADA,475.1,475.7,475.7,475.1,31.55902652,2024-09-14T22:40:00
KRW-ADA,474.5,474.6,475.3,474.4,20191.69135708,2024-09-14T22:35:00
BTC-ADA,5.92e-06,5.92e-06,5.92e-06,5.92e-06,78.00000099,2024-09-14T09:25:00
BTC-ADA,5.92e-06,5.92e-06,5.92e-06,5.92e-06,181.70889375,2024-09-14T08:40:00
BTC-ADA,6.13e-06,6.13e-06,6.13e-06,6.13e-06,1051.19738988,2024-09-13T21:50:00
BTC-MANA,4.73e-06,4.73e-06,4.73e-06,4.73e-06,2699.58718425,2024-09-13T02:10:00
BTC-MANA,4.62e-06,4.62e-06,4.62e-06,4.62e-06,3200.0,2024-09-12T16:35:00
BTC-MANA,4.63e-06,4.63e-06,4.63e-06,4.63e-06,12.19381214,2024-09-11T11:55:00
KRW-SBD,3296.0,3295.0,3296.0,3295.0,989.54993164,2024-09-14T22:50:00
KRW-SBD,3295.0,3295.0,3295.0,3295.0,141.47818422,2024-09-14T22:40:00
KRW-SBD,3295.0,3295.0,3295.0,3295.0,150.0,2024-09-14T22:35:00
BTC-SBD,4.162e-05,4.162e-05,4.162e-05,4.162e-05,1.64504157,2024-09-13T14:35:00
BTC-SBD,4.162e-05,4.162e-05,4.162e-05,4.162e-05,9.18539504,2024-09-13T10:00:00
BTC-SBD,4.13e-05,4.13e-05,4.13e-05,4.13e-05,3.0,2024-09-12T21:40:00
KRW-POWR,259.7,259.7,259.7,259.7,78.68628923,2024-09-14T22:50:00
KRW-POWR,260.5,260.5,260.5,260.5,7685.83462587,2024-09-14T22:35:00
KRW-POWR,260.4,260.5,260.5,259.8,35729.83586392,2024-09-14T22:25:00
BTC-POWR,3.22e-06,3.22e-06,3.22e-06,3.22e-06,1099.69254658,2024-09-14T17:05:00
BTC-POWR,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3472.54617946,2024-09-10T09:15:00
BTC-POWR,3.34e-06,3.34e-06,3.34e-06,3.34e-06,3472.54617946,2024-09-10T08:50:00
KRW-BTG,30230.0,30240.0,30240.0,30180.0,269.41154251,2024-09-14T22:50:00
KRW-BTG,30160.0,30230.0,30230.0,30160.0,112.42658934,2024-09-14T22:45:00
KRW-BTG,30200.0,30160.0,30230.0,30160.0,96.66817538,2024-09-14T22:40:00
USDT-ADA,0.3895,0.3895,0.3895,0.3895,1.28369704,2024-09-14T22:40:00
USDT-ADA,0.3535,0.3535,0.3535,0.3535,2616.38266437,2024-09-14T18:35:00
USDT-ADA,0.3535,0.3535,0.3535,0.3535,28.28854314,2024-09-14T12:40:00
BTC-DNT,6e-07,6e-07,6e-07,6e-07,3333.33333334,2024-09-14T21:20:00
BTC-DNT,6e-07,6e-07,6e-07,6e-07,43930.90898942,2024-09-14T21:15:00
BTC-DNT,6.1e-07,6.1e-07,6.1e-07,6.1e-07,497.4262295,2024-09-14T19:45:00
BTC-ZRX,4.83e-06,4.83e-06,4.83e-06,4.83e-06,39.0376569,2024-09-12T05:55:00
BTC-ZRX,4.94e-06,4.94e-06,4.94e-06,4.94e-06,332.095594,2024-09-11T16:40:00
BTC-ZRX,5.07e-06,5.07e-06,5.07e-06,5.07e-06,359.56583573,2024-09-09T16:55:00
BTC-TRX,2.45e-06,2.45e-06,2.45e-06,2.45e-06,2019.368735,2024-09-14T21:10:00
BTC-TRX,2.49e-06,2.49e-06,2.49e-06,2.49e-06,1002.92241284,2024-09-14T20:55:00
BTC-TRX,2.51e-06,2.49e-06,2.51e-06,2.49e-06,10526.51192828,2024-09-14T19:40:00
BTC-TUSD,1.725e-05,1.725e-05,1.725e-05,1.725e-05,52.17391304,2024-09-14T00:55:00
BTC-TUSD,1.741e-05,1.725e-05,1.741e-05,1.725e-05,21.57554166,2024-09-12T17:50:00
BTC-TUSD,1.741e-05,1.741e-05,1.741e-05,1.741e-05,34.5332,2024-09-12T14:50:00
BTC-LRC,2.04e-06,2.02e-06,2.04e-06,2.02e-06,4306.74741717,2024-09-14T21:30:00
BTC-LRC,2.02e-06,2.02e-06,2.02e-06,2.02e-06,30.69009622,2024-09-14T17:10:00
BTC-LRC,2.04e-06,2.03e-06,2.04e-06,2.03e-06,2687.03234409,2024-09-14T17:05:00
KRW-ICX,174.1,174.0,174.1,174.0,23089.03786878,2024-09-14T22:25:00
KRW-ICX,174.2,174.1,174.2,174.1,6967.70725324,2024-09-14T22:20:00
KRW-ICX,174.1,174.1,174.1,174.1,10221.53854972,2024-09-14T22:15:00
KRW-EOS,670.2,670.2,670.2,670.2,74.60459564,2024-09-14T22:50:00
KRW-EOS,668.9,668.9,668.9,668.9,3659.81747008,2024-09-14T22:35:00
KRW-EOS,669.2,669.5,669.5,669.0,3146.42544036,2024-09-14T22:30:00
USDT-TUSD,1.023,1.023,1.023,1.023,54.15722918,2024-09-14T00:55:00
USDT-TUSD,1.022,1.022,1.022,1.022,13.54565416,2024-09-12T11:50:00
USDT-TUSD,1.022,1.022,1.022,1.022,9.62710915,2024-09-12T01:25:00
KRW-TRX,198.5,198.7,198.7,198.4,84214.03990754,2024-09-14T22:50:00
KRW-TRX,198.5,198.5,198.5,198.2,93158.63394829,2024-09-14T22:45:00
KRW-TRX,198.3,198.3,198.5,198.2,99086.76611167,2024-09-14T22:40:00
BTC-POLYX,3.75e-06,3.75e-06,3.75e-06,3.75e-06,2139.66602816,2024-09-14T17:45:00
BTC-POLYX,3.75e-06,3.75e-06,3.75e-06,3.75e-06,982.74503708,2024-09-14T09:10:00
BTC-POLYX,3.73e-06,3.73e-06,3.73e-06,3.73e-06,16.86909581,2024-09-14T03:30:00
USDT-SC,0.004448,0.004448,0.004448,0.004448,1011.69064748,2024-09-14T19:20:00
USDT-SC,0.004448,0.004448,0.004448,0.004448,1707.09884723,2024-09-14T17:35:00
USDT-SC,0.004448,0.004448,0.004448,0.004448,1180.62830305,2024-09-14T15:10:00
USDT-TRX,0.1467,0.1467,0.1467,0.1467,118.70546318,2024-09-14T16:45:00
USDT-TRX,0.1463,0.1467,0.1467,0.1463,5981.03555258,2024-09-14T10:05:00
USDT-TRX,0.1494,0.1494,0.1494,0.1494,19.91778774,2024-09-14T09:05:00
KRW-SC,5.783,5.783,5.783,5.783,196414.43811189,2024-09-14T22:50:00
KRW-SC,5.79,5.783,5.79,5.783,274139.64806499,2024-09-14T22:40:00
KRW-SC,5.79,5.789,5.79,5.789,54093.50219103,2024-09-14T22:35:00
KRW-ONT,233.7,233.7,233.7,233.5,9564.8054596,2024-09-14T22:50:00
KRW-ONT,232.7,233.0,233.4,232.7,28336.50994533,2024-09-14T22:45:00
KRW-ONT,232.7,232.7,232.7,232.7,1056.15988855,2024-09-14T22:40:00
KRW-ZIL,18.35,18.36,18.36,18.34,81878.67802221,2024-09-14T22:50:00
KRW-ZIL,18.34,18.34,18.34,18.34,1808.493,2024-09-14T22:45:00
KRW-ZIL,18.34,18.34,18.34,18.34,8895.42104405,2024-09-14T22:40:00
KRW-POLYX,302.9,303.0,303.0,302.9,30764.76257621,2024-09-14T22:50:00
KRW-POLYX,303.0,302.9,303.3,302.9,11169.92934953,2024-09-14T22:45:00
